ASX code,Company name,Listing date,GICs industry group,Market Cap
KGD,KULA GOLD LIMITED,16/11/2010,Materials,11197570
KGL,KGL RESOURCES LIMITED,17/03/2005,Materials,122739023
KGN,KOGAN.COM LTD,07/07/2016,Retailing,372513461
KIL,KILAND LTD,08/07/2002,Materials,124943508
KIN,KIN MINING NL,02/10/2013,Materials,79687635
KKC,KKR CREDIT INCOME FUND,21/11/2019,Not Applic,611401390
KKO,KINETIKO ENERGY LTD,21/07/2011,Energy,79777692
KLI,KILLI RESOURCES LIMITED,10/02/2022,Class Pend,9100000
KLL,KALIUM LAKES LIMITED,22/12/2016,Materials,69078215
KLO,KINGSLAND GLOBAL LTD,11/12/2015,Real Estate,N/A
KLR,KAILI RESOURCES LIMITED,06/03/1997,Energy,1916205
KLS,KELSIAN GROUP LIMITED,16/10/2013,Consumer Services,1175754809
KMD,KMD BRANDS LIMITED,13/11/2009,Retailing,690007290
KME,KIP MCGRATH EDUCATION CENTRES LIMITED,15/08/2003,Consumer Services,47506435
KNB,KOONENBERRY GOLD LIMITED,28/09/2021,Materials,9579927
KNG,KINGSLAND MINERALS LTD,14/06/2022,Materials,6356273
KNI,KUNIKO LIMITED,24/08/2021,Materials,34457154
KNM,KNEOMEDIA LIMITED,24/06/1987,Media & Entertainment,29609309
KNO,KNOSYS LIMITED,09/09/2015,Software & Services,18804067
KOB,KOBA RESOURCES LIMITED,04/05/2022,Materials,10075000
KOR,KORAB RESOURCES LIMITED,31/08/2005,Materials,9910350
KOV,KORVEST LTD,17/09/1970,Capital Goods,91380177
KP2,KORE POTASH PLC,07/11/2017,Materials,47882480
KPG,KELLY PARTNERS GROUP HOLDINGS LIMITED,21/06/2017,Commercial & Professional Services,207900000
KPO,KALINA POWER LIMITED,02/08/1971,Utilities,31819112
KRM,KINGSROSE MINING LIMITED,07/12/2007,Materials,42141485
KRR,KING RIVER RESOURCES LIMITED,21/09/2007,Materials,18642299
KSC,K & S CORPORATION LIMITED,25/08/1971,Transportation,266855517
KSL,KINA SECURITIES LIMITED,30/07/2015,Banks,246764874
KSN,KINGSTON RESOURCES LIMITED,05/03/1987,Materials,39272679
KSS,KLEOS SPACE S.A,24/08/2018,Commercial & Professional Services,32134658
KTA,KRAKATOA RESOURCES LIMITED,28/12/2012,Materials,20337885
KTG,K-TIG LIMITED,01/11/2012,Capital Goods,17386681
KWR,KINGWEST RESOURCES LIMITED,24/08/2018,Materials,9578712
KYP,KINATICO LTD,08/09/2015,Software & Services,38212449
KZA,KAZIA THERAPEUTICS LIMITED,01/09/1994,"Pharmaceuticals, Biotechnology & Life Sciences",14870217
KZR,KALAMAZOO RESOURCES LIMITED,16/01/2017,Materials,31252069
L1M,LIGHTNING MINERALS LTD,22/11/2022,Materials,9691434
LAM,LARAMIDE RESOURCES LTD,30/04/2013,Energy,110444874
LAU,LINDSAY AUSTRALIA LIMITED,05/07/1994,Transportation,193776181
LAW,LAWFINANCE LIMITED,12/05/2000,Diversified Financials,5556486
LBL,LASERBOND LIMITED,17/12/2007,Capital Goods,97557922
LBT,LBT INNOVATIONS LIMITED,31/07/2006,Health Care Equipment & Services,18184891
LBY,LAYBUY GROUP HOLDINGS LIMITED,07/09/2020,Software & Services,15194281
LCE,LONDON CITY EQUITIES LIMITED,06/03/1987,Diversified Financials,17074710
LCL,LOS CERROS LIMITED,02/10/2007,Materials,27197122
LCT,LIVING CELL TECHNOLOGIES LIMITED,01/09/2004,"Pharmaceuticals, Biotechnology & Life Sciences",21208501
LCY,LEGACY IRON ORE LIMITED,08/07/2008,Materials,121729698
LDR,LODE RESOURCES LTD,02/07/2021,Materials,12369645
LDX,LUMOS DIAGNOSTICS HOLDINGS LIMITED,05/07/2021,Health Care Equipment & Services,10285418
LEG,LEGEND MINING LIMITED,25/08/1995,Materials,96429750
LEL,LITHIUM ENERGY LIMITED,19/05/2021,Materials,85033950
LER,LEAF RESOURCES LTD,05/01/1999,Materials,19910428
LEX,LEFROY EXPLORATION LIMITED,05/09/1991,Materials,37927414
LFG,LIBERTY FINANCIAL GROUP,15/12/2020,Banks,1190112000
LFS,LATITUDE GROUP HOLDINGS LIMITED,20/04/2021,Diversified Financials,1350981889
LGI,LGI LIMITED,04/10/2022,Utilities,174971596
LGL,LYNCH GROUP HOLDINGS LIMITED,06/04/2021,"Food, Beverage & Tobacco",211784704
LGM,LEGACY MINERALS HOLDINGS LIMITED,13/09/2021,Materials,11652203
LGP,LITTLE GREEN PHARMA LTD,20/02/2020,"Pharmaceuticals, Biotechnology & Life Sciences",46965739
LHM,LAND & HOMES GROUP LIMITED,05/10/2004,Real Estate,6296336
LIC,LIFESTYLE COMMUNITIES LIMITED,15/12/1998,Real Estate,1961266658
LIN,LINDIAN RESOURCES LIMITED,02/03/2000,Materials,217034265
LIO,LION ENERGY LIMITED,15/02/1972,Energy,15979133
LIS,LI-S ENERGY LIMITED,28/09/2021,Capital Goods,249678090
LIT,LITHIUM AUSTRALIA LIMITED,30/10/2007,Materials,61059584
LKE,LAKE RESOURCES N.L.,29/08/2001,Materials,1321733774
LKO,LAKES BLUE ENERGY NL,05/12/1985,Energy,46554600
LKY,LOCKSLEY RESOURCES LIMITED,08/07/2021,Materials,3360000
LLC,LENDLEASE GROUP,30/06/1962,Real Estate,5251691572
LLI,LOYAL LITHIUM LIMITED,06/07/2021,Materials,26362201
LLL,LEO LITHIUM LIMITED,23/06/2022,Materials,616763204
LLO,LION ONE METALS LIMITED,07/06/2013,Materials,149442108
LM8,LUNNON METALS LIMITED,16/06/2021,Materials,156008404
LME,LIMEADE INC.,20/12/2019,Software & Services,48822686
LMG,LATROBE MAGNESIUM LIMITED,18/12/1986,Materials,123232084
LML,LINCOLN MINERALS LIMITED,09/03/2007,Materials,N/A
LNK,LINK ADMINISTRATION HOLDINGS LIMITED,27/10/2015,Software & Services,1790326309
LNR,LANTHANEIN RESOURCES LTD,09/04/2003,Materials,32736069
LNU,LINIUS TECHNOLOGIES LIMITED,26/07/2011,Software & Services,12057665
LOM,LUCAPA DIAMOND COMPANY LIMITED,19/12/2006,Materials,64780194
LOT,LOTUS RESOURCES LIMITED,18/02/2009,Materials,258789035
LOV,LOVISA HOLDINGS LIMITED,18/12/2014,Retailing,2534048781
LPD,LEPIDICO LTD,19/04/1994,Materials,122204340
LPE,LOCALITY PLANNING ENERGY HOLDINGS LIMITED,11/10/2011,Utilities,11067130
LPI,LITHIUM POWER INTERNATIONAL LIMITED,24/06/2016,Materials,193644557
LPM,LITHIUM PLUS MINERALS LTD.,26/04/2022,Materials,55775000
LRD,LORD RESOURCES LIMITED,07/04/2022,Materials,8638227
LRK,LARK DISTILLING CO. LTD,12/11/2003,"Food, Beverage & Tobacco",191465312
LRL,LABYRINTH RESOURCES LIMITED,28/07/1971,Materials,14847235
LRS,LATIN RESOURCES LIMITED,21/09/2010,Materials,241957890
LRT,LOWELL RESOURCES FUND,22/03/2018,Not Applic,36147381
LRV,LARVOTTO RESOURCES LIMITED,06/12/2021,Materials,10968061
LSA,LACHLAN STAR LIMITED,28/07/1971,Materials,21104203
LSF,L1 LONG SHORT FUND LIMITED,24/04/2018,Not Applic,1614361310
LSR,LODESTAR MINERALS LIMITED,21/12/2007,Materials,8692187
LSX,LION SELECTION GROUP LIMITED.,13/03/2013,Not Applic,69647913
LTR,LIONTOWN RESOURCES LIMITED,27/12/2006,Materials,4184209342
LV1,LIVE VERDURE LTD,14/12/2020,"Food, Beverage & Tobacco",14014221
LVE,LOVE GROUP GLOBAL LTD,05/12/2014,Software & Services,2026708
LVH,LIVEHIRE LIMITED,10/06/2016,Software & Services,70563063
LVT,LIVETILES LIMITED,17/08/1999,Software & Services,58652479
LYC,LYNAS RARE EARTHS LIMITED,11/09/1986,Materials,7729321797
LYK,LYKOS METALS LIMITED,21/10/2021,Materials,11907000
LYL,LYCOPODIUM LIMITED,17/12/2004,Capital Goods,265862112
LYN,LYCAON RESOURCES LTD,17/11/2021,Materials,12917188
M24,MAMBA EXPLORATION LIMITED,05/02/2021,Materials,8842584
M2M,MT MALCOLM MINES NL,10/09/2021,Materials,6363900
M2R,MIRAMAR RESOURCES LIMITED,22/10/2020,Materials,6997493
M3M,M3 MINING LIMITED,29/07/2021,Materials,5051332
M7T,MACH7 TECHNOLOGIES LIMITED,30/11/2005,Health Care Equipment & Services,155440598
M8S,M8 SUSTAINABLE LIMITED,11/12/2019,Commercial & Professional Services,5486382
MAD,MADER GROUP LIMITED,01/10/2019,Commercial & Professional Services,750000000
MAF,MA FINANCIAL GROUP LIMITED,10/04/2017,Diversified Financials,865571236
MAG,MAGMATIC RESOURCES LIMITED,19/05/2017,Materials,27795123
MAH,MACMAHON HOLDINGS LIMITED,01/12/1983,Materials,323247873
MAM,MICROEQUITIES ASSET MANAGEMENT GROUP LIMITED,30/04/2018,Diversified Financials,98137048
MAN,MANDRAKE RESOURCES LIMITED,29/05/1987,Materials,22652497
MAP,MICROBA LIFE SCIENCES LIMITED,05/04/2022,Health Care Equipment & Services,91909929
MAQ,MACQUARIE TELECOM GROUP LIMITED,27/09/1999,Telecommunication Services,1231592969
MAT,MATSA RESOURCES LIMITED,20/04/2005,Materials,16474185
MAU,MAGNETIC RESOURCES NL,05/04/2007,Materials,182874669
MAUCA,MAGNETIC RESOURCES NL,05/04/2007,Materials,182874669
MAY,MELBANA ENERGY LIMITED,27/03/1998,Energy,134808164
MBH,MAGGIE BEER HOLDINGS LTD,27/08/2004,"Food, Beverage & Tobacco",68725784
MBKDA,METAL BANK LIMITED,02/03/2011,Materials,0
MBX,MY FOODIE BOX LIMITED,07/01/2022,Food & Staples Retailing,4555999
MCA,MURRAY COD AUSTRALIA LIMITED,30/03/2011,"Food, Beverage & Tobacco",122440542
MCE,MATRIX COMPOSITES & ENGINEERING LIMITED,16/11/2009,Energy,32866072
MCL,MIGHTY CRAFT LIMITED,17/12/2019,Consumer Services,64048630
MCM,MC MINING LIMITED,24/04/1980,Energy,85501542
MCP,MCPHERSON'S LIMITED,30/06/1962,Household & Personal Products,105802619
MCR,MINCOR RESOURCES NL,16/06/1997,Materials,741560168
MCT,METALICITY LIMITED,21/12/2005,Materials,12222138
MCX,MARINER CORPORATION LIMITED,20/06/1986,Diversified Financials,N/A
MCY,MERCURY NZ LIMITED,10/05/2013,Utilities,6916179730
MDC,MEDLAB CLINICAL LIMITED,14/07/2015,"Pharmaceuticals, Biotechnology & Life Sciences",18153841
MDI,MIDDLE ISLAND RESOURCES LIMITED,16/12/2010,Materials,7100257
MDR,MEDADVISOR LIMITED,26/05/2011,Health Care Equipment & Services,108769683
MDX,MINDAX LIMITED,08/12/2004,Materials,N/A
MEA,MCGRATH LIMITED,07/12/2015,Real Estate,63422388
MEB,MEDIBIO LIMITED,29/01/2001,Health Care Equipment & Services,3320594
MEC,MORPHIC ETHICAL EQUITIES FUND LIMITED,03/05/2017,Diversified Financials,48036141
MEG,MEGADO MINERALS LTD,27/10/2020,Materials,6737500
MEI,METEORIC RESOURCES NL,16/07/2004,Materials,22894461
MEK,MEEKA METALS LIMITED,21/12/1999,Materials,73665016
MEL,METGASCO LTD,23/12/2004,Energy,21202562
MEM,MEMPHASYS LIMITED.,14/05/2007,"Pharmaceuticals, Biotechnology & Life Sciences",12482590
MEU,MARMOTA LIMITED,21/11/2007,Energy,48704826
MEZ,MERIDIAN ENERGY LIMITED,29/10/2013,Utilities,11382952309
MFB,MY FOOD BAG GROUP LIMITED,05/03/2021,Retailing,109096886
MFD,MAYFIELD CHILDCARE LIMITED,30/11/2016,Consumer Services,63353324
MFF,MFF CAPITAL INVESTMENTS LIMITED,19/12/2006,Not Applic,1393263302
MFG,MAGELLAN FINANCIAL GROUP LIMITED,01/07/2004,Diversified Financials,1761623866
MGA,METALSGROVE MINING LTD,06/07/2022,Materials,8960700
MGF,MAGELLAN GLOBAL FUND.,30/11/2020,Not Applic,2156484412
MGG,MOGUL GAMES GROUP LTD,19/10/2011,Media & Entertainment,6526882
MGH,MAAS GROUP HOLDINGS LIMITED,04/12/2020,Capital Goods,777877318
MGL,MAGONTEC LIMITED,07/07/1983,Materials,23256551
MGR,MIRVAC GROUP,16/06/1999,Real Estate,8759809682
MGT,MAGNETITE MINES LIMITED.,06/04/2006,Materials,60668473
MGU,MAGNUM MINING AND EXPLORATION LIMITED,23/04/1987,Materials,15013385
MGV,MUSGRAVE MINERALS LIMITED,29/04/2011,Materials,110827705
MGX,MOUNT GIBSON IRON LIMITED,12/02/1976,Materials,528272410
MHC,MANHATTAN CORPORATION LIMITED,29/01/2008,Energy,9157672
MHI,MERCHANT HOUSE INTERNATIONAL LIMITED,31/10/1994,Consumer Durables & Apparel,6127322
MHJ,MICHAEL HILL INTERNATIONAL LIMITED,07/07/2016,Retailing,446134439
MHK,METAL HAWK LIMITED.,19/11/2020,Materials,15786672
MI6,MINERALS 260 LIMITED,12/10/2021,Materials,91300000
MIH,MNC MEDIA INVESTMENT LTD,13/09/2013,Media & Entertainment,N/A
MIL,MILLENNIUM SERVICES GROUP LIMITED,19/11/2015,Commercial & Professional Services,21821640
MIN,MINERAL RESOURCES LIMITED,28/07/2006,Materials,15897895731
MIO,MACARTHUR MINERALS LIMITED,06/12/2019,Materials,20706686
MIR,MIRRABOOKA INVESTMENTS LIMITED,28/06/2001,Not Applic,554196142
MKG,MAKO GOLD LIMITED,16/04/2018,Materials,19809357
MKL,MIGHTY KINGDOM LIMITED,21/04/2021,Media & Entertainment,6710303
MKM,MACKEREL METALS LIMITED,,Class Pend,0
MKR,MANUKA RESOURCES LTD.,14/07/2020,Materials,69443801
MLG,MLG OZ LIMITED,04/05/2021,Materials,56810974
MLM,METALLICA MINERALS LIMITED,23/11/2004,Materials,25486589
MLS,METALS AUSTRALIA LTD,23/01/1986,Materials,26709592
MLX,METALS X LIMITED,26/08/2004,Materials,240425508
MM1,MIDAS MINERALS LTD,07/09/2021,Materials,11667385
MM8,MEDALLION METALS LIMITED.,22/03/2021,Materials,34561128
MMA,MARONAN METALS LIMITED,29/04/2022,Materials,36750000
MMC,MITRE MINING CORPORATION LIMITED,30/09/2021,Materials,7011021
MME,MONEYME LIMITED,12/12/2019,Diversified Financials,101589619
MMI,METRO MINING LIMITED,04/12/2009,Materials,74185104
MMM,MARLEY SPOON AG,02/07/2018,Consumer Services,45253490
MMR,MEC RESOURCES LIMITED,29/05/2006,Energy,N/A
MMS,MCMILLAN SHAKESPEARE LIMITED,15/03/2004,Commercial & Professional Services,957591580
MNB,MINBOS RESOURCES LIMITED,18/10/2010,Materials,56993366
MND,MONADELPHOUS GROUP LIMITED,28/03/1991,Capital Goods,1297217197
MNS,MAGNIS ENERGY TECHNOLOGIES LTD,25/10/2005,Materials,349319334
MNY,MONEY3 CORPORATION LIMITED,19/10/2006,Diversified Financials,395728443
MOB,MOBILICOM LIMITED,02/05/2017,Technology Hardware & Equipment,10650237
MOH,MOHO RESOURCES LIMITED,07/11/2018,Materials,4983893
MOM,MOAB MINERALS LIMITED,15/01/1987,Materials,7269635
MOT,METRICS INCOME OPPORTUNITIES TRUST,29/04/2019,Not Applic,546597436
MOV,MOVE LOGISTICS GROUP LIMITED,01/07/2022,Transportation,128023642
MOZ,MOSAIC BRANDS LIMITED,11/05/2000,Retailing,43502461
MP1,MEGAPORT LIMITED,17/12/2015,Software & Services,1045471410
MPA,MAD PAWS HOLDINGS LIMITED,26/03/2021,Retailing,41492803
MPG,MANY PEAKS GOLD LIMITED,16/03/2022,Materials,10055500
MPL,MEDIBANK PRIVATE LIMITED,25/11/2014,Insurance,8014149428
MPP,METRO PERFORMANCE GLASS LIMITED,30/07/2014,Capital Goods,31514275
MPR,MPOWER GROUP LIMITED,01/01/1974,Diversified Financials,6461472
MPX,MUSTERA PROPERTY GROUP LIMITED,28/11/2014,Real Estate,39664661
MQG,MACQUARIE GROUP LIMITED,05/11/2007,Diversified Financials,68792862212
MQR,MARQUEE RESOURCES LIMITED,15/03/2017,Materials,16516114
MR1,MONTEM RESOURCES LIMITED.,15/09/2020,Materials,N/A
MRC,MINERAL COMMODITIES LTD,14/08/1981,Materials,40234993
MRD,MOUNT RIDLEY MINES LIMITED,15/09/2004,Materials,34682524
MRDNB,MOUNT RIDLEY MINES LIMITED,15/09/2004,Materials,34682524
MRG,MURRAY RIVER ORGANICS GROUP LIMITED,16/12/2016,"Food, Beverage & Tobacco",10808210
MRI,MY REWARDS INTERNATIONAL LIMITED,11/02/2022,Commercial & Professional Services,10092420
MRL,MAYUR RESOURCES LIMITED,21/09/2017,Materials,30394772
MRM,MMA OFFSHORE LIMITED,21/06/1999,Energy,268724198
MRQ,MRG METALS LIMITED,08/06/2011,Materials,6988235
MRR,MINREX RESOURCES LIMITED,11/11/2011,Materials,42258126
MRZ,MONT ROYAL RESOURCES LIMITED,07/05/2019,Materials,12736831
MSB,MESOBLAST LIMITED,16/12/2004,"Pharmaceuticals, Biotechnology & Life Sciences",729750006
MSG,MCS SERVICES LIMITED,17/01/2012,Commercial & Professional Services,7753900
MSI,MULTISTACK INTERNATIONAL LIMITED,11/02/1993,Capital Goods,2453471
MSL,MSL SOLUTIONS LIMITED.,04/05/2017,Software & Services,103356501
MSV,MITCHELL SERVICES LIMITED,02/08/2011,Materials,91181554
MTB,MOUNT BURGESS MINING NL,05/09/1985,Materials,3436684
MTC,METALSTECH LIMITED,24/02/2017,Materials,67701836
MTH,MITHRIL RESOURCES LIMITED,18/11/2002,Materials,13231049
MTM,MT MONGER RESOURCES LIMITED,15/07/2021,Materials,4780916
MTMN,MT MONGER RESOURCES LIMITED,15/07/2021,Materials,4780916
MTO,MOTORCYCLE HOLDINGS LIMITED,29/04/2016,Retailing,175789704
MTR,METAL TIGER PLC,27/05/2021,Materials,42355894
MTS,METCASH LIMITED,08/04/2005,Food & Staples Retailing,4064930144
MVF,MONASH IVF GROUP LIMITED,26/06/2014,Health Care Equipment & Services,389634840
MVL,MARVEL GOLD LIMITED,14/06/2016,Materials,17612359
MVP,MEDICAL DEVELOPMENTS INTERNATIONAL LIMITED,15/12/2003,"Pharmaceuticals, Biotechnology & Life Sciences",138951332
MWY,MIDWAY LIMITED,08/12/2016,Materials,78602600
MX1,MICRO-X LIMITED,22/12/2015,Health Care Equipment & Services,65583726
MXC,MGC PHARMACEUTICALS LTD,21/12/2006,"Pharmaceuticals, Biotechnology & Life Sciences",35823092
MXI,MAXIPARTS LIMITED,07/12/1994,Capital Goods,99912057
MXO,MOTIO LTD,09/05/2011,Media & Entertainment,8251109
MXR,MAXIMUS RESOURCES LIMITED,26/10/2005,Materials,13712948
MXT,METRICS MASTER INCOME TRUST,09/10/2017,Not Applic,1699900253
MYE,METAROCK GROUP LIMITED,07/05/2010,Materials,20631326
MYG,MAYFIELD GROUP HOLDINGS LIMITED,30/10/1986,Capital Goods,31705063
MYL,MALLEE RESOURCES LIMITED,03/12/2007,Materials,N/A
MYR,MYER HOLDINGS LIMITED,02/11/2009,Retailing,587214353
MYS,MYSTATE LIMITED,10/09/2009,Banks,446012075
MYX,MAYNE PHARMA GROUP LIMITED,29/06/2007,"Pharmaceuticals, Biotechnology & Life Sciences",478449265
MZZ,MATADOR MINING LIMITED,08/03/2017,Materials,45160516
N1H,N1 HOLDINGS LIMITED,18/03/2016,Banks,14969447
NAB,NATIONAL AUSTRALIA BANK LIMITED,31/01/1962,Banks,99907041115
NAC,NAOS EX-50 OPPORTUNITIES COMPANY LIMITED,12/11/2014,Not Applic,33806946
NAE,NEW AGE EXPLORATION LIMITED,18/02/1994,Energy,11487191
NAG,NAGAMBIE RESOURCES LIMITED,23/06/2006,Materials,37209956
NAM,NAMOI COTTON LIMITED,06/04/1998,Commercial & Professional Services,96131554
NAN,NANOSONICS LIMITED,17/05/2007,Health Care Equipment & Services,1473904058
NBI,NB GLOBAL CORPORATE INCOME TRUST,26/09/2018,Not Applic,614609186
NC1,NICO RESOURCES LIMITED,19/01/2022,Materials,70525002
NC6,NANOLLOSE LIMITED,18/10/2017,"Pharmaceuticals, Biotechnology & Life Sciences",10570932
NCC,NAOS EMERGING OPPORTUNITIES COMPANY LIMITED,26/02/2013,Not Applic,56173667
NCK,NICK SCALI LIMITED,26/05/2004,Retailing,885330000
NCL,NETCCENTRIC LIMITED,06/07/2015,Media & Entertainment,20376840
NCM,NEWCREST MINING LIMITED,04/06/1987,Materials,17543504176
NCR,NUCOAL RESOURCES LIMITED,31/05/1996,Materials,6917511
NCZ,NEW CENTURY RESOURCES LIMITED,08/12/2010,Materials,132822799
NEA,NEARMAP LTD,07/12/2000,Software & Services,1045619323
NEC,NINE ENTERTAINMENT CO. HOLDINGS LIMITED,06/12/2013,Media & Entertainment,3666595494
NES,NELSON RESOURCES LIMITED.,07/12/2017,Materials,4120160
NET,NETLINKZ LIMITED,13/01/2011,Software & Services,78884500
NEU,NEUREN PHARMACEUTICALS LIMITED,03/02/2005,"Pharmaceuticals, Biotechnology & Life Sciences",1057518543
NEW,NEW ENERGY SOLAR LIMITED,04/12/2017,Utilities,59308777
NFL,NORFOLK METALS LIMITED,22/03/2022,Materials,5940000
NGE,NGE CAPITAL LIMITED,28/12/2007,Not Applic,26460000
NGI,NAVIGATOR GLOBAL INVESTMENTS LIMITED,28/04/2006,Diversified Financials,268688893
NGL,NIGHTINGALE INTELLIGENT SYSTEMS INC,18/11/2022,Capital Goods,16770083
NGS,NUTRITIONAL GROWTH SOLUTIONS LTD,30/10/2020,Household & Personal Products,9788292
NGY,NUENERGY GAS LIMITED,15/01/1987,Energy,25176243
NHC,NEW HOPE CORPORATION LIMITED,16/09/2003,Energy,4912945867
NHE,NOBLE HELIUM LIMITED,08/04/2022,Energy,32648304
NHF,NIB HOLDINGS LIMITED,05/11/2007,Insurance,3475269410
NIC,NICKEL INDUSTRIES LIMITED,20/08/2018,Materials,2608366190
NIM,NIMY RESOURCES LIMITED,22/11/2021,Materials,33157071
NIS,NICKELSEARCH LIMITED,18/10/2021,Materials,13008002
NKL,NICKELX LIMITED,07/05/2021,Materials,7986312
NME,NEX METALS EXPLORATION LIMITED,06/12/2007,Materials,9345827
NMEN,NEX METALS EXPLORATION LIMITED,06/12/2007,Materials,9345827
NML,NAVARRE MINERALS LIMITED,31/03/2011,Materials,62547743
NMR,NATIVE MINERAL RESOURCES HOLDINGS LIMITED,16/11/2020,Materials,21973471
NMT,NEOMETALS LTD,10/07/2002,Materials,527867823
NNG,NEXION GROUP LTD,18/02/2021,Software & Services,6552529
NNL,NORDIC NICKEL LIMITED,01/06/2022,Materials,23045001
NOL,NOBLEOAK LIFE LIMITED,22/07/2021,Insurance,152148637
NOR,NORWOOD SYSTEMS LIMITED,27/06/1995,Software & Services,11010650
NOU,NOUMI LIMITED,07/11/1985,"Food, Beverage & Tobacco",45723038
NOV,NOVATTI GROUP LIMITED,18/01/2016,Software & Services,74035615
NOX,NOXOPHARM LIMITED,09/08/2016,"Pharmaceuticals, Biotechnology & Life Sciences",48219262
NPM,NEWPEAK METALS LIMITED,11/04/2011,Materials,9040417
NPR,NEWMARK PROPERTY REIT,06/12/2021,Real Estate,256124099
NRX,NORONEX LIMITED,15/11/2017,Materials,6928187
NRZ,NEURIZER LTD,17/03/2005,Energy,120732961
NSB,NEUROSCIENTIFIC BIOPHARMACEUTICALS LTD,27/07/2018,"Pharmaceuticals, Biotechnology & Life Sciences",17216597
NSC,NAOS SMALL CAP OPPORTUNITIES COMPANY LIMITED,25/03/2004,Not Applic,97846597
NSM,NORTH STAWELL MINERALS LTD,24/09/2020,Materials,12012700
NSR,NATIONAL STORAGE REIT,19/12/2013,Real Estate,2880057370
NST,NORTHERN STAR RESOURCES LTD,17/12/2003,Materials,12218992151
NSX,NSX LIMITED,13/01/2005,Diversified Financials,18041543
NTD,NATIONAL TYRE & WHEEL LIMITED,15/12/2017,Retailing,89278884
NTI,NEUROTECH INTERNATIONAL LIMITED,04/11/2016,Health Care Equipment & Services,69389713
NTL,NEW TALISMAN GOLD MINES LIMITED,28/05/1987,Materials,3127225
NTM,NT MINERALS LIMITED,22/12/1993,Materials,N/A
NTO,NITRO SOFTWARE LIMITED,11/12/2019,Software & Services,514639356
NTU,NORTHERN MINERALS LIMITED,15/11/2006,Materials,199619788
NUC,NUCHEV LIMITED,09/12/2019,"Food, Beverage & Tobacco",9313992
NUF,NUFARM LIMITED,10/11/1988,Materials,2300020907
NUH,NUHEARA LIMITED,05/03/2010,Technology Hardware & Equipment,31554925
NVA,NOVA MINERALS LIMITED,11/06/1987,Materials,138376440
NVU,NANOVEU LIMITED,30/11/2018,Technology Hardware & Equipment,3088473
NVX,NOVONIX LIMITED,02/12/2015,Technology Hardware & Equipment,1090162985
NWC,NEW WORLD RESOURCES LIMITED,21/09/2005,Materials,72224210
NWE,NORWEST ENERGY NL,19/09/1997,Energy,315537865
NWF,NEWFIELD RESOURCES LIMITED,08/06/2012,Materials,296015287
NWH,NRW HOLDINGS LIMITED,05/09/2007,Capital Goods,1185870919
NWL,NETWEALTH GROUP LIMITED,20/11/2017,Diversified Financials,3375371154
NWM,NORWEST MINERALS LIMITED,29/11/2018,Materials,12438014
NWS,NEWS CORPORATION..,19/06/2013,Media & Entertainment,15856307544
NWSLV,NEWS CORPORATION..,19/06/2013,Media & Entertainment,15856307544
NXG,NEXGEN ENERGY (CANADA) LTD,02/07/2021,Energy,3081110905
NXL,NUIX LIMITED,04/12/2020,Software & Services,220533782
NXM,NEXUS MINERALS LIMITED,23/02/2007,Materials,58581596
NXS,NEXT SCIENCE LIMITED,18/04/2019,Health Care Equipment & Services,133169883
NXT,NEXTDC LIMITED,13/12/2010,Software & Services,4537086800
NYM,NARRYER METALS LIMITED,14/04/2022,Materials,7845750
NYR,NYRADA INC.,16/01/2020,"Pharmaceuticals, Biotechnology & Life Sciences",19501088
NZK,NEW ZEALAND KING SALMON INVESTMENTS LIMITED,19/10/2016,"Food, Beverage & Tobacco",113705489
NZM,NZME LIMITED,27/06/2016,Media & Entertainment,200927519
NZO,NEW ZEALAND OIL & GAS LIMITED,25/09/2020,Energy,86221073
NZS,NEW ZEALAND COASTAL SEAFOODS LIMITED,19/06/2007,"Food, Beverage & Tobacco",3944518
OAK,OAKRIDGE INTERNATIONAL LIMITED,22/06/2007,Software & Services,2407395
OAR,OAR RESOURCES LIMITED,17/12/1998,Materials,13326227
OAU,ORA GOLD LIMITED,22/03/2001,Materials,5905388
OBL,OMNI BRIDGEWAY LIMITED,28/01/2000,Diversified Financials,1115445899
OBM,ORA BANDA MINING LTD,29/10/2002,Materials,115546396
OCA,OCEANIA HEALTHCARE LIMITED,05/05/2017,Health Care Equipment & Services,524408052
OCC,ORTHOCELL LIMITED,12/08/2014,"Pharmaceuticals, Biotechnology & Life Sciences",91699428
OCL,OBJECTIVE CORPORATION LIMITED,17/08/2000,Software & Services,1272064939
OCN,OCEANA LITHIUM LIMITED,01/07/2022,Materials,30268000
OCT,OCTAVA MINERALS LIMITED,16/09/2022,Materials,7152581
OD6,OD6 METALS LIMITED,22/06/2022,Materials,59421432
ODA,ORCODA LIMITED,15/09/1986,Software & Services,17470611
ODE,ODESSA MINERALS LIMITED,03/07/1986,Materials,10921029
ODM,ODIN METALS LIMITED,05/08/2010,Materials,19342086
ODY,ODYSSEY GOLD LTD,30/11/2005,Materials,32685925
OEC,ORBITAL CORPORATION LIMITED,24/01/1989,Capital Goods,17765567
OEL,OTTO ENERGY LIMITED,22/12/2004,Energy,62335127
OEQ,ORION EQUITIES LIMITED,19/11/1970,Diversified Financials,2347384
OFX,OFX GROUP LIMITED,11/10/2013,Diversified Financials,599519155
OIL,OPTISCAN IMAGING LIMITED,08/08/1997,Health Care Equipment & Services,65058588
OKJ,OAKAJEE CORPORATION LIMITED,11/06/2008,Materials,2926273
