Name,Tell,Email,Website
TONGAAT HULETT LIMITED,+27 32 439 4019,info@tongaat.co.za,http://www.tongaat.co.za
TRADEHOLD LIMITED,+27 21 929 4800,tradehold@tradehold.co.za,www.tradehold.co.za
TRANSACTION CAPITAL LIMITED,+27 11 0496700,roneng@transactioncapital.co.za,http://www.transactioncapital.co.za
TRANSCEND RESIDENTIAL PROPERTY FUND LIMITED,+27 11 3008600,info@transcendproperty.co.za,http://transcendproperty.co.za
TRANSPACO LIMITED,+27 11 887 0430,transpaco@transpaco.co.za,http://www.transpaco.co.za
TRELLIDOR HOLDINGS LIMITED,+27 31 5080800,investor.relations@trellidor.co.za,http://www.trellidor.com
TREMATON CAPITAL INVESTMENTS LIMITED,+27 21 4215550,cgarvie@trematon.co.za,http://www.trematon.co.za
TRENCOR LIMITED,+27 21 4217310,info@trencor.net,http://www.trencor.net
TRUSTCO GROUP HOLDINGS LIMITED,+264 61 2754000,info@tgh.na,http://www.tgh.na
TRUWORTHS INTERNATIONAL LIMITED,+27 21 460 7911,services@truworths.co.za,http://www.truworths.co.za
TSOGO SUN GAMING LIMITED,+27 11 5107700,companysecretary@tsogosun.com,http://www.tsogosungaming.com
UNION ATLANTIC MINERALS LIMITED,+27 12 6654200,info@unionatlanticminerals.com,http://www.unionatlanticminerals.com
UNIVERSAL PARTNERS LIMITED,+230 5 4445871,pierrej@universalpartners.mu,http://www.universalpartners.mu
VISUAL INTERNATIONAL HOLDINGS LIMITED,+27 21 9198954,info@visualinternational.co.za,http://www.visualinternational.co.za
VODACOM GROUP LIMITED,+27 11 653 5000,sandi.linford@vodacom.co.za,http://www.vodacom.co.za
VUKILE PROPERTY FUND LIMITED,+27 11 2881000,info@vukile.co.za,http://www.vukile.co.za
VUNANI LIMITED,+27 11 263 9500,mmazongo@vunanigroup.co.za,http://www.vunanigroup.co.za
W G WEARNE LIMITED,+27 11 459 4500,info@wearne.co.za,http://www.wearne.co.za
WESIZWE PLATINUM LIMITED,+27 11 994 4600,irmanager@wesizwe.co.za,http://www.wesizwe.co.za
WILSON BAYLY HOLMES-OVCON LIMITED,+27 11 3217200,wbhoho@wbho.co.za,http://www.wbho.co.za
WOOLWORTHS HOLDINGS LIMITED,+27 21 4079111,investorrelations@woolworths.co.za,http://www.woolworths.co.za
WORKFORCE HOLDINGS LIMITED,+27 11 532 0000,info@workforce.co.za,http://www.workforce.co.za
YORK TIMBER HOLDINGS LIMITED,+27 13 764 9200,info@york.co.za,http://www.york.co.za
ZEDER INVESTMENTS LIMITED,+27 21 8879602,info@zeder.co.za,http://www.zeder.co.za
